Date,Teams,1,X,2,Bs
14 Jun 2024 19:30,New York City–Columbus Crew,+114,+254,+221,14
15 Jun 2024 19:30,Atlanta Utd–Houston Dynamo,+108,+271,+223,13
15 Jun 2024 19:30,CF Montreal–Real Salt Lake,+235,+277,+102,13
15 Jun 2024 19:30,Charlotte–DC United,+100,+270,+245,13
15 Jun 2024 19:30,New England Revolution–Vancouver Whitecaps,+145,+250,+172,13
15 Jun 2024 19:30,New York Red Bulls–Nashville SC,-135,+268,+371,13
15 Jun 2024 19:30,Orlando City–Los Angeles FC,+159,+248,+160,13
15 Jun 2024 19:30,Philadelphia Union–Inter Miami,-115,+304,+261,13
15 Jun 2024 19:30,Toronto FC–Chicago Fire,-119,+275,+301,13
15 Jun 2024 20:30,FC Dallas–St. Louis City,+127,+254,+196,13
15 Jun 2024 21:30,Colorado Rapids–Austin FC,-156,+320,+371,13
15 Jun 2024 22:30,Los Angeles Galaxy–Sporting Kansas City,-164,+342,+372,13
15 Jun 2024 22:30,San Jose Earthquakes–FC Cincinnati,+179,+262,+135,13
15 Jun 2024 22:30,Seattle Sounders–Minnesota United,-147,+297,+368,13
19 Jun 2024 19:30,CF Montreal–New York Red Bulls,+200,+259,+121,4
19 Jun 2024 19:30,Charlotte–Orlando City,+110,+261,+219,4
19 Jun 2024 19:30,DC United–Atlanta Utd,+108,+276,+211,4
19 Jun 2024 19:30,Inter Miami–Columbus Crew,+120,+274,+199,4
19 Jun 2024 19:30,Toronto FC–Nashville SC,+125,+249,+200,4
19 Jun 2024 19:45,FC Cincinnati–Philadelphia Union,-125,+275,+317,4
