Name,Detail,URL
Lotto Stop N' Shop Food Store,Store · Open now · (954) 268-9907 ,"https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8138145,7z/data=!3m1!4b1?entry=ttu"
Florida Lottery,Lottery retailer · Open now ,"https://www.google.com/maps/search/loterry+tickets+Florida/@27.3508971,-81.0875466,8z/data=!3m1!4b1?entry=ttu"
Loteria Dollar Discount,Lottery retailer ·  · 1665 W 68th StOpen ⋅ Closes 8 PM ,"https://www.google.com/maps/search/buy+loterry+Florida/@27.2222296,-81.0004292,8z/data=!3m1!4b1?entry=ttu"
Miggelee-Misiah,"Lottery retailer ·  · 19501 Biscayne Blvd, AventuraOpen now · (305) 317-8018 ","https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9038851,-80.1619169,11z/data=!3m1!4b1?entry=ttu"
Florida Lottery,Stores and shopping ·  · 2100 NW 42nd AveOpen ⋅ Closes 5 PM · (305) 364-3080 ,"https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8310374,7z/data=!3m1!4b1?entry=ttu"
Florida Lottery Miami District Office,District government office ·  · 14621 Oak LnOpen ⋅ Closes 4 PM · (305) 364-3080 ,"https://www.google.com/maps/search/loterry+tickets+Florida/@27.3508971,-81.2519649,8z/data=!3m1!4b1?entry=ttu"
Florida Lottery Retailer - Where to PLAY Lottery & Scratch-offs,Lottery retailer ·  · 1488 E Semoran BlvdOpen ⋅ Closes 10 PM ,"https://www.google.com/maps/search/loterry+tickets+Florida/@27.6968407,-81.2456997,7z/data=!3m1!4b1?entry=ttu"
Florida Lottery Retailer,Lottery retailer ·  · 4125 Cleveland Ave ,"https://www.google.com/maps/search/buy+loterry+Florida/@27.3508971,-81.0875466,8z/data=!3m1!4b1?entry=ttu"
Team Dollar,Lottery retailer ·  · 199 SW 12th Ave #1Convenience store for discount goodsOpen ⋅ Closes 9 PM · (305) 960-7275 ,"https://www.google.com/maps/search/buy+loterry+Florida/@27.3508971,-81.0875466,8z/data=!3m1!4b1?entry=ttu"
Publix Liquors at North Shore,Liquor store ·  · 6880 Collins AveOne-stop shop for liquor & beerOpen ⋅ Closes 10 PM · (305) 864-7413 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@26.0791601,-80.2567577,11z/data=!3m1!4b1?entry=ttu"
Publix Super Market at Pine Lake Plaza,Supermarket ·  · 411 S Cypress RdSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (954) 784-3277 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@26.0791601,-80.2567577,11z/data=!3m1!4b1?entry=ttu"
Publix Liquors at West Lake Commons,Liquor store ·  · 1710 Sheridan StOne-stop shop for liquor & beerOpen ⋅ Closes 9 PM · (954) 927-5682 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@26.0791601,-80.2567577,11z/data=!3m1!4b1?entry=ttu"
Publix Liquors at Hollywood Circle,Liquor store ·  · 1761 N Young Cir Ste 1 Ste 1One-stop shop for liquor & beerOpen ⋅ Closes 9 PM · (954) 927-7883 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@26.0791601,-80.2567577,11z/data=!3m1!4b1?entry=ttu"
Publix Super Market at The Harbor Shops,Supermarket ·  · 1940 Cordova RdSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (954) 847-2844 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@26.0791601,-80.2567577,11z/data=!3m1!4b1?entry=ttu"
Publix Super Market at Hollywood Circle,Supermarket ·  · 1740 Polk StSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (954) 927-7879 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@26.0791601,-80.2567577,11z/data=!3m1!4b1?entry=ttu"
Publix Super Market at Shops at Sunset Lakes,Supermarket ·  · 18409 Miramar PkwySupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (954) 447-3334 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@26.0791601,-80.2567577,11z/data=!3m1!4b1?entry=ttu"
Florida Lottery,Lottery retailer ·  ,"https://www.google.com/maps/search/loterry+shop+Florida/@46.423669,-129.9427085,3z/data=!3m1!4b1?entry=ttu"
Lotto Stop N' Shop Food Store,Store · (954) 268-9907 ,"https://www.google.com/maps/search/loterry+shop+Florida/@28.1060502,-83.8306821,7z/data=!3m1!4b1?entry=ttu"
Team Dollar,Convenience store ·  · 199 SW 12th Ave #1Convenience store for discount goodsOpen ⋅ Closes 8 PM · (305) 960-7275 ,"https://www.google.com/maps/search/buy+loterry+Florida/@27.3508971,-81.0875466,8z/data=!3m1!4b1?entry=ttu"
Publix Super Market at Allapattah and US 1 Shopping Center,Supermarket ·  · 20711 S Dixie HwySupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (305) 256-3140 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9034837,-80.2457606,10z/data=!3m1!4b1?entry=ttu"
Publix Super Market at Beachway Plaza,Supermarket ·  · 402 E Dania Beach BlvdSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (954) 920-4289 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9034837,-80.2457606,10z/data=!3m1!4b1?entry=ttu"
Publix Super Market at Surfside,Supermarket ·  · 9400 Harding AveSupermarket chain for groceries & moreOpen ⋅ Closes 10 PM · (305) 865-1263 ,"https://www.google.com/maps/search/buy+loterry+at+publix+Florida/@25.9038851,-80.1619169,11z/data=!3m1!4b1?entry=ttu"
